joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.697792523,0.500388,-0.0131681,9.23444,23,1
-0.695298716,0.500388,-0.0131681,9.23444,23,1
-0.650596325,0.500388,-0.0131681,9.23444,23,1
-0.680163602,0.539892,-0.0622492,8.99621,23,1
-0.683732397,0.539892,-0.0622492,8.99621,23,1
-0.676389367,0.452504,0.113725,9.15902,24,1
-0.671883953,0.452504,0.113725,9.15902,24,1
-0.673785142,0.452504,0.113725,9.15902,24,1
-0.676139213,0.36751,0.101754,9.4128,24,1
-0.656369362,0.36751,0.101754,9.4128,24,1
-0.674836382,0.36751,0.101754,9.4128,24,1
-0.675036403,0.384269,0.0203507,9.27274,24,1
-0.682209734,0.384269,0.0203507,9.27274,24,1
-0.657196805,0.482432,-0.0299275,9.35654,24,1
-0.66574363,0.482432,-0.0299275,9.35654,24,1
-0.655593843,0.499191,0.104148,9.41879,24,1
-0.692566044,0.499191,0.104148,9.41879,24,1
-0.679891108,0.499191,0.104148,9.41879,24,1
-0.691583886,0.499191,0.104148,9.41879,24,1
-0.669391815,0.545878,0.142455,9.28471,24,1
-0.655450609,0.543484,0.0131681,9.2488,24,1
-0.676170736,0.543484,0.0131681,9.2488,24,1
-0.69902266,0.543484,0.0131681,9.2488,24,1
-0.679116239,0.547075,-0.130484,9.2093,24,1
-0.681501949,0.547075,-0.130484,9.2093,24,1
-0.66878687,0.517148,-0.0383072,9.21289,24,1
-0.678076115,0.517148,-0.0383072,9.21289,24,1
-0.694591216,0.517148,-0.0383072,9.21289,24,1
-0.695895004,0.373495,-0.0215478,9.33858,24,1
-0.675101083,0.373495,-0.0215478,9.33858,24,1
-0.651295925,0.311246,-0.071826,9.44872,24,1
-0.68020943,0.311246,-0.071826,9.44872,24,1
-0.662838393,0.311246,-0.071826,9.44872,24,1
-0.694785006,0.221464,-0.071826,9.52533,25,1
-0.663773409,0.221464,-0.071826,9.52533,25,1
-0.654194653,0.1652,-0.059855,9.61272,25,1
-0.699670563,0.1652,-0.059855,9.61272,25,1
-0.66979477,0.1652,-0.059855,9.61272,25,1
-0.674323857,0.201113,0.0203507,9.67018,25,1
-0.670788055,0.201113,0.0203507,9.67018,25,1
-0.670064124,0.244209,0.114922,9.77912,25,1
-0.697625133,0.244209,0.114922,9.77912,25,1
-0.697553168,0.244209,0.114922,9.77912,25,1
-0.650292126,0.28491,0.114922,9.67976,25,1
-0.682779372,0.28491,0.114922,9.67976,25,1
-0.692522534,0.281319,0.0155623,9.68694,25,1
-0.698764484,0.281319,0.0155623,9.68694,25,1
-0.651631331,0.281319,0.0155623,9.68694,25,1
-0.686530686,0.331597,0.0407014,9.64863,25,1
-0.665576073,0.331597,0.0407014,9.64863,25,1
-0.688228581,0.335188,-0.0191536,9.43196,25,1
-0.683748885,0.335188,-0.0191536,9.43196,25,1
-0.684934969,0.335188,-0.0191536,9.43196,25,1
-0.669635962,0.331597,0.0454898,9.4966,25,1
-0.656935845,0.331597,0.0454898,9.4966,26,1
-0.664531421,0.301669,0.0610521,9.50737,26,1
-0.679119267,0.301669,0.0610521,9.50737,26,1
-0.689796727,0.301669,0.0610521,9.50737,26,1
-0.680330849,0.316035,-0.00957681,9.53012,26,1
-0.696691224,0.316035,-0.00957681,9.53012,26,1
-0.689813895,0.317232,0.0023942,9.62708,26,1
-0.661541008,0.317232,0.0023942,9.62708,26,1
-0.668969901,0.317232,0.0023942,9.62708,26,1
-0.682648044,0.335188,0.0574608,9.70969,26,1
-0.670093808,0.335188,0.0574608,9.70969,26,1
-0.67583333,0.476446,0.137667,9.73482,26,1
-0.65333897,0.476446,0.137667,9.73482,26,1
-0.697875194,0.476446,0.137667,9.73482,26,1
-0.665726594,0.507571,0.047884,9.58878,25,1
-0.697590441,0.507571,0.047884,9.58878,25,1
-0.697752049,0.507571,0.047884,9.58878,25,1
-0.677131862,0.459687,-0.0837971,9.34577,25,1
